,,,"Collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, U of Denver). ",,,,,,
,,,"With thanks to Rivera Sun, Sarah Syverson, & many others for assistance compiling sources.",,,,,,
,,,"To submit additional information, please use this form: https://goo.gl/forms/PmLax1SUfUnQ0ftd2",,,,,,
,,,,,,,,,
,State/Territory,Country,Estimate1 (low),Estimate2 (high),Estimate3,Not 1/21,Source1,Source2,Source3
"Clare, MI",MI,US,24,24,,,http://www.themorningsun.com/general-news/20170121/hope-strength-unity-topics-at-the-clare-peoples-rally,,
"Clemson, SC",SC,US,500,500,,,http://www.independentmail.com/story/news/local/south-carolina/2017/01/21/clemson-march-draws-500-support-womens-rights/96886286/,,
"Cleveland, OH",OH,US,"15,000",15000,,,http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_on_cleveland_a_vo.html#incart_big-photo,,
"Cobb, CA",CA,US,2,2,,,FB,,
"Cobleskill, NY",NY,US,300,300,,,FB,,
"Cody, WY",WY,US,500,500,,,Colorado Springs Gazette,,
"College Station, TX",TX,US,50,50,,,http://www.kbtx.com/content/news/College-Station-group-holds-womens-march--411430985.html,http://www.theeagle.com/news/local/dozens-turn-out-for-women-s-march-at-texas-a/article_c3720eee-563f-5b4f-abfc-bf066330073b.html,
"Colorado Springs, CO",CO,US,"7,000",7000,,,http://gazette.com/thousands-march-in-colorado-springs-in-protest-a-day-after-president-trumps-inauguration/article/1594846,FB,
"Columbia, MO",MO,US,"3,000",3604,,,Missourian,https://twitter.com/aliemalie/status/823031663592669184,
"Columbia, SC",SC,US,"2,000",2000,,,http://www.heraldonline.com/latest-news/article127939199.html,,
"Columbus, OH",OH,US,,,,"2,000",http://wksu.org/post/womens-march-columbus-draws-thousands-people#stream/0,,
"Compton, CA",CA,US,,,,,,,
"Concord, NH",NH,US,"6,000",6000,,,https://twitter.com/LenStuart/status/822934229671673861,,
"Conover, WI",WI,US,1,1,,,FB,,
"Cooperstown, NY",NY,US,200,200,,,http://www.allotsego.com/women-allies-march-across-otsego-county/,,
"Coos Bay, OR",OR,US,200,200,,,http://theworldlink.com/news/local/hundreds-rally-at-women-s-march-in-downtown-coos-bay/article_997db7f0-b921-5aef-8e37-5945831c8400.html,,
"Copper Harbor, MI",MI,US,19,19,,,https://twitter.com/LlrCandy/status/823050874305921024,,
"Cordova, AK",AK,US,108,114,,,onsite eyewitness who did headcount,,
"Corpus Christi, TX",TX,US,24,24,,,http://www.kristv.com//story/34315427/corpus-christi-womens-march#.WIRF0H0kfZo.twitter,,
"Cortez, CO",CO,US,400,504,,,http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration,http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration,
"Corvallis, OR",OR,US,100,100,,,FB,,
"Crested Butte, CO",CO,US,350,400,,,https://twitter.com/jcgreenfield/status/823228054864596993,https://www.facebook.com/photo.php?fbid=10154954212529621&set=a.10150925891014621.437150.621714620&type=3&theater,
"Crestone, CO",CO,US,1,1,,,FB,,
"Dallas, TX",TX,US,"5,000",8000,"10,000",,http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown,http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown,FB
"Dayton, OH",OH,US,"3,000",3000,,,http://www.mydaytondailynews.com/news/local/thousands-rally-dayton-part-women-march-events/ZlU3xaMQAph01LyLEZPs4H/,,
"Daytona Beach, FL",FL,US,100,100,,,http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches,,
"Decorah, IA",IA,US,300,800,,,onsite eyewitness who did headcount,,
"Delhi, NY",NY,US,50,120,,,instagram #delhiny,https://www.facebook.com/groups/pantsuitnation/search/?query=women%27s%20march%20in%20delhi,
"Deming, NM",NM,US,45,50,,,http://www.demingradio.com/news/local-group-marches-in-solidarity-with-womens-march-on-washington,,
"Denton, TX",TX,US,"2,500",2800,,,http://www.dentonrc.com/local-news/local-news-headlines/20170121-divided-nation-united-denton.ece,FB (organizer site),
"Denver, CO",CO,US,"200,000",200000,,,http://www.denverpost.com/2017/01/21/women-march-denver-numbers-equality-rights/,https://twitter.com/DenverChannel/status/822879895487475712 ,
"Des Moines, IA",IA,US,"26,000","26,000",,,http://whotv.com/2017/01/21/thousands-rally-at-iowa-state-capitol-for-womens-march-against-trump/,,
"Detroit, MI",MI,US,4000,4000,,,http://www.detroitnews.com/story/news/local/detroit-city/2017/01/21/thousands-march-detroit-opposing-trump-presidency/96880054/,,
Disability (online),,US,,,,,,,
"Douglas-Saugatuck, MI",MI,US,"1,200","2,500",,,via email JP,https://bicyclebasefennville.wordpress.com/2017/01/21/douglas-saugatuck-join-worldwide-womens-march ,
"Doylestown, PA",PA,US,"1,000","1,000",,,https://twitter.com/JimAleski/status/823025384748974080,Bucks County Courier Times,
"Driggs, ID",ID,US,"1,000","1,000",,,http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/,,
"Dubuque, IA",IA,US,400,400,,,channel 13 whotv.com,,
"Duluth, MN",MN,US,"1,500","1,500",,,Duluth News Tribune,,
"Durango, CO",CO,US,"1,000","1,000",,,FB,,
"Eagle Pass, TX",TX,US,,,,,,,
"East Haddam, CT",CT,US,500,500,,,https://twitter.com/ColleenFree/status/823159668541366273,,
"Eastport, ME",ME,US,70,70,,,FB,,
"Eastsound, WA",WA,US,250,250,,,http://orcasissues.com/orcas-step-worldwide-marches/,,
"Eau Claire, WI",WI,US,250,250,,,http://www.weau.com/content/news/Hundreds-march-in-Eau-Claire-to-support-Womens-March-411425375.html,,
"El Paso, TX",TX,US,"1,000","2,000",,,https://twitter.com/AdriaKFOX_CBS/status/822987688689078272,http://www.kvia.com/news/politics/thousands-of-women-march-in-borderland-for-their-rights/285015803,
"Elgin, IL",IL,US,200,"1,000",,,The Courier News,https://twitter.com/georgerapidis/status/823234390255878146,
"Elkton, OR",OR,US,,,,,,,
"Ellsworth, ME",ME,US,60,60,,,https://twitter.com/UpFrontSoul/status/823162970633015300,,
"Ely, MN",MN,US,50,50,,,http://elyecho.com/articles/2017/01/21/ely-area-women-hold-rally-saturday-whiteside-park,,
"Encinitas, CA (Seacrest)",CA,US,50,50,,,http://www.nbcsandiego.com/news/local/This-is-a-Little-One-Seniors-Walk-in-Solidarity-With-the-Womens-March-411446085.html,,
"Ephrata, WA",WA,US,250,250,,,FB,,
"Erie, PA",PA,US,"2,500","2,500",,,http://www.goerie.com/news/20170121/thousands-demonstrate-in-womens-march-on-erie,,
"Eugene, OR",OR,US,"7,000","10,000",,,http://registerguard.com/rg/news/local/35195183-75/more-than-7000-participate-in-womens-march-in-eugene-joining-hundreds-of-thousands-around-the-nation.html.csp,https://twitter.com/erinely/status/822965859194793985,
"Eureka, CA",CA,US,"5,000","8,000",,,https://lostcoastoutpost.com/2017/jan/21/hundreds-flood-eurekas-streets-solidarity-womens-m/,http://www.times-standard.com/general-news/20170121/thousands-gather-for-womens-march-on-eureka,
"Fairbanks, AK",AK,US,"2,000","2,000",,,http://www.newsminer.com/news/local_news/gather-in-subzero-fairbanks-weather-for-women-s-march/article_239e5470-e01f-11e6-a089-7f4103a02ed3.html,,
"Fairfax, CA",CA,US,25,60,,,https://twitter.com/contraryAshley/status/823271784694747136,onsite eyewitness per google form,
"Fairfield, IA",IA,US,200,200,,,FB,,
"Fairmont, WV",WV,US,95,95,,,FB photo of marchers,,
"Falmouth, MA",MA,US,"1,000","1,000",,,https://twitter.com/DaveMcGlinchey/status/823023657266114564,,
"Fargo, ND",ND,US,"1,000","3,000",,,FB,Twitter (@FargoUGND),
"Fayetteville, AR",AR,US,"1,000","1,000",,,FB,,
"Fernandina Beach, FL",FL,US,1000,1300,,,http://www.fbnewsleader.com/news/womens-march-fernandina-beach,https://twitter.com/RadiantAstro/status/823164932980178945,
